Municipality,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014
NC075,0,0,0.2347422117,0,0.1286208781,0.3800327929,0.236837311,0.3790307889,0.6639642922,1.3052468574,0
NC076,34.419336348,6.7575313674,4.3834787593,7.3638621744,3.2587733265,25.6377937711,27.4918794981,8.1739379657,0.2101776957,0.3502961595,0.2929749697
NC077,0.9749432634,0.2709462276,0.1296836645,0.1829465981,0.0731323237,0.8336807003,0.233893752,0.0439998147,0.5618544764,0.0856838498,0.1111574267
NC078,3.2648343942,3.1245010249,1.5535656489,0.3156489373,0.2899449779,0.2697162585,0.5014025245,3.1631783364,1.1673589384,1.1084798792,0.7855486029
NC081,0,0,0,0,0,0,0,0,0,0,0
NC082,1.2974692192,1.1384718153,0.9788975087,0.3723754725,0.3826686302,0.9707297818,0.6539495058,0.2455328,0.2870394267,0.1222274515,0.7553629173
NC083,4.609269044,3.3776499027,4.5514364558,3.7287526472,4.0493828481,6.0875029414,3.3571993925,3.8496908893,2.9753674033,1.1348428776,1.3453590605
NC084,0.132235379,0.1743102723,0.2317725551,0.0739315982,0,0.0108192583,0.087756206,0,0.0477249504,-0.1682995732,0
NC085,0,0.0066964922,2.0604109082,0.0362465449,0,0.0117687288,0,0,0.4917504916,0,0.5864987319
NC086,0,0,0.003906459,0,0,0.4982073099,0,0.0100069567,0.0083480494,0.4532562744,0.3446246053
NC091,4.6888982063,5.5686600199,5.6129067372,4.9976576453,4.9403364766,4.7251502776,4.2334251192,4.8562939192,5.4062715438,3.7875431884,5.1150172754
NC092,0.0190217971,0.3484127154,0.0090732478,0.7298307039,0.2059733994,0.0017079055,0.1120385987,0.5277214406,0,0.0149441728,0.0149441728
