Municipality,Name,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total,Population,Sep 2011P,Dec 2011P,Mar 2012P,Jun 2012P,Sep 2012P,Dec 2012P,Mar 2013P,Jun 2013P,Sep 2013P,Dec 2013P,Mar 2014P
NC074,Kareeberg,0.000231,0.000458,0.001,0.000457,0.000054,0.000226,0.000477,0.000388,0.000208,0.000098,0.000125,0.000311,11673,0.2474942174,0.3975841686,0.7779491133,0.2170821554,0.0645078386,0.1775893087,0.3074616637,0.3789085925,0.1841857277,0.1105971044,0.088923156
NC066,Karoo Hoogland,0.000043,0.00016,0.000072,0.000324,0.000111,0.000043,0.000064,0.000423,0.000105,0.000221,0.000169,0.000125,12588,0.0443279314,0.1175722911,0.0586272641,0.0806323483,0.1340959644,0.0302669209,0.0388465205,0.1320305052,0.1418811567,0.1468064824,0.1060533842
NC086,Kgatelopele,0,0,0.000007,0,0,0.001064,0,0.000014,0.000007,0.000623,0.00044,0.000176,18687,0,0,0.003906459,0,0,0.4982073099,0,0.0100069567,0.0083480494,0.4532562744,0.3446246053
NW374,Kgetlengrivier,0.009521,0.016129,0.018687,0.016469,0.002729,0.040094,0.006047,0.053516,0.03253,0.011163,0.003513,0.014372,51049,6.660267586,9.6475543106,8.6474759545,4.253736606,1.8805461419,12.2253521127,5.6006973692,11.938529648,17.1886422849,9.1946561147,2.5851632745
NC067,Khâi-Ma,-0.002766,0.000311,0.000816,0.000576,0.000334,0.000708,0.00028,0.000402,0.000171,0.000124,0,0.000389,12465,0.2827918171,0.3152827918,0.4693140794,0.3088648215,0.2727637385,0.5134376254,0.1845166466,0.2045728039,0.1564380265,0.0882470919,0
EC157,King Sabata Dalindyebo,0.00066,0.008449,0.004535,0.002404,0.000987,0.003847,0.006732,0.004247,0.001642,0.001781,0.004441,0.002839,451710,0.4094441124,1.1724336411,1.2917092825,0.6866130925,0.5159017954,0.8837107879,1.8279759137,1.2899293795,0.9381018795,0.5117221226,1.2612361914
WC048,Knysna,0.00284,0.007766,0.020825,0.030742,0.006693,0.023204,0.042093,0.047295,0.010847,0.036148,0.031747,0.017508,68659,9.579603548,9.3777509139,25.5341324517,27.7203279978,25.0511659069,26.5890851891,52.2499162528,54.1038756754,42.4506182729,42.9216708662,41.3271967258
FS162,Kopanong,0,0,0,0,0,0,0,0,0,0,0,0,49171,0,0,0,0,0,0,0,0,0,0,0
EC109,Kou-Kamma,0.001886,0.005296,0.001615,0.002775,0.001327,0.001523,0.005516,0.010358,0.004423,0.006482,0.005609,0.00398,40663,1.1280033446,1.5146201707,1.1177237292,1.0139438802,1.4370558001,0.6652239136,3.3332759511,4.3998229349,3.3408749969,3.1843444901,5.8454122913
EC108,Kouga,0.010824,0.008274,0.008335,0.00955,0.002363,0.004237,0.002351,0.000467,0.000645,0.000342,0.000542,0.00342,98558,8.3267111751,5.8203494389,7.3699750401,8.0459019055,5.7994987723,2.769161306,2.2855171574,0.4032853751,1.5217232493,0.3763976542,0.5729418211
KZN291,KwaDukuza,0.000051,0.002475,0.000482,0.000814,0.000281,0.003015,0.00054,0.000336,0.000417,0.000409,0.000543,0.000611,138078,0.0116238648,0.2281681369,0.132577239,0.1070916439,0.0855386086,0.3372151972,0.1910514347,0.0496096409,0.1374005997,0.117650893,0.1370602123
KZN433,KwaSani,0.00854,0.013733,0.007114,0.023848,0.00282,0.018367,0.000983,0.002283,0.00052,0.00065,0.000567,0.005101,65981,12.0745972325,7.4308209939,9.6209817978,13.2742910838,6.6694806081,2.6011579091,0.790697322,1.1260817508,0.8982889014,0.4299722647,0.4524029645
WC051,Laingsburg,0.032651,0.046851,0.14636,0.091437,0.026958,0.039575,0.202157,0.412923,0.070226,0.097658,0.103357,0.078665,8289,14.157316926,55.5882494873,66.680781759,36.9163952226,33.8623476897,70.7294004102,86.2739775606,89.2563638557,103.6977922548,102.2467125106,101.0072385089
WC026,Langeberg,0.000781,0.006469,0.006747,0.004041,0.002471,0.003655,0.002662,0.004306,0.002839,0.006085,0.005455,0.004023,97724,0.8565244976,5.3162068683,6.830481765,3.1012647865,3.0054541361,3.10977856,2.8664811101,3.9822868487,3.542927019,6.0204658016,6.1710429373
MP305,Lekwa,0.002431,0.004756,0.007145,0.02104,0.000728,0.000184,0.000382,0.000686,0.000298,0.000984,0.003193,0.002979,115662,1.9979076966,2.8347080286,3.3430426588,11.0142916429,0.6628192492,0.1541301378,0.2747747748,0.5667721464,0.220703429,0.9616814511,1.0264391071
